modeldb_id,model_name,paper_id,authors,title,journal,year,doi,pubmedid,citation_count,modeldb_model_count,all_paper_ids
45539,A single column thalamocortical network model (Traub et al 2005),58972,"Traub RD, Contreras D, Cunningham MO, Murray H, LeBeau FE, Roopun A, Bibbig A, Wilent WB, Higley MJ, Whittington MA","Single-column thalamocortical network model exhibiting gamma oscillations, sleep spindles, and epileptogenic bursts.",Journal of neurophysiology,2005,10.1152/jn.00983.2004,,464,2,58972|66265
8210,Spike Initiation in Neocortical Pyramidal Neurons (Mainen et al 1995),4290,"Mainen ZF, Joerges J, Huguenard JR, Sejnowski TJ",A model of spike initiation in neocortical pyramidal neurons.,Neuron,1995,10.1016/0896-6273(95)90020-9,,456,1,4290
9769,CA1 pyramidal neuron: effects of Lamotrigine on dendritic excitability (Poolos et al 2002),13856,"Poolos NP, Migliore M, Johnston D",Pharmacological upregulation of h-channels reduces the excitability of pyramidal neuron dendrites.,Nature neuroscience,2002,10.1038/nn891,,452,1,13856
8284,Febrile seizure-induced modifications to Ih (Chen et al 2001),3937,"Chen K, Aradi I, Thon N, Eghbal-Ahmadi M, Baram TZ, Soltesz I",Persistently modified h-channels after complex febrile seizures convert the seizure-induced enhancement of inhibition to hyperexcitability.,Nature medicine,2001,10.1038/85480,,429,1,3937
3343,Thalamocortical and Thalamic Reticular Network (Destexhe et al 1996),28235,"Destexhe A, Bal T, McCormick DA, Sejnowski TJ",Ionic mechanisms underlying synchronized oscillations and propagating waves in a model of ferret thalamic slices.,Journal of neurophysiology,1996,10.1152/jn.1996.76.3.2049,,413,2,28235
124394,Dendritic Na+ spike initiation and backpropagation of APs in active dendrites (Nevian et al. 2007),117305,"Nevian T, Larkum ME, Polsky A, Schiller J",Properties of basal dendrites of layer 5 pyramidal neurons: a direct patch-clamp recording study.,Nature neuroscience,2007,10.1038/nn1826,,404,1,117305
3817,"Pyramidal Neuron: Deep, Thalamic Relay and Reticular, Interneuron (Destexhe et al 1998, 2001)",4170,"Destexhe A, Contreras D, Steriade M",Mechanisms underlying the synchronizing action of corticothalamic feedback through inhibition of thalamic relay cells.,Journal of neurophysiology,1998,10.1152/jn.1998.79.2.999,,378,1,4170|19840|19841
3454,MNTB Neuron: Kv3.1 currents (Wang et al 1998),4664,"Wang LY, Gan L, Forsythe ID, Kaczmarek LK",Contribution of the Kv3.1 potassium channel to high-frequency firing in mouse auditory neurones.,The Journal of physiology,1998,10.1111/j.1469-7793.1998.183bo.x,,363,1,4664
139653,"L5b PC model constrained for BAC firing and perisomatic current step firing (Hay et al., 2011)",145814,"Hay E, Hill S, Schürmann F, Markram H, Segev I",Models of neocortical layer 5b pyramidal cells capturing a wide range of dendritic and perisomatic active properties.,PLoS computational biology,2011,10.1371/journal.pcbi.1002107,,356,3,145814
124513,"Dentate gyrus (Morgan et al. 2007, 2008, Santhakumar et al. 2005, Dyhrfjeld-Johnsen et al. 2007)",85911,"Dyhrfjeld-Johnsen J, Santhakumar V, Morgan RJ, Huerta R, Tsimring L, Soltesz I",Topological determinants of epileptogenesis in large-scale structural and functional models of the dentate gyrus derived from experimental data.,Journal of neurophysiology,2007,10.1152/jn.00950.2006,,351,2,51780|85911|114348|114349
2796,CA1 pyramidal neuron (Migliore et al 1999),26749,"Migliore M, Hoffman DA, Magee JC, Johnston D",Role of an A-type K+ conductance in the back-propagation of action potentials in the dendrites of hippocampal pyramidal neurons.,Journal of computational neuroscience,1999,10.1023/a:1008906225285,,350,1,26749
48332,Cerebellar Purkinje Cell: resurgent Na current and high frequency firing (Khaliq et al 2003),43936,"Khaliq ZM, Gouwens NW, Raman IM",The contribution of resurgent sodium current to high-frequency firing in Purkinje neurons: an experimental and modeling study.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2003,10.1523/JNEUROSCI.23-12-04899.2003,,332,1,43936|52479
151460,DBS of a multi-compartment model of subthalamic nucleus projection neurons (Miocinovic et al. 2006),115500,"Miocinovic S, Parent M, Butson CR, Hahn PJ, Russo GS, Vitek JL, McIntyre CC",Computational analysis of subthalamic nucleus and lenticular fasciculus activation during therapeutic deep brain stimulation.,Journal of neurophysiology,2006,10.1152/jn.00305.2006,,322,1,115500
123623,Hodgkin-Huxley models of different classes of cortical neurons (Pospischil et al. 2008),122785,"Pospischil M, Toledo-Rodriguez M, Monier C, Piwkowska Z, Bal T, Frégnac Y, Markram H, Destexhe A",Minimal Hodgkin-Huxley type models for different classes of cortical and thalamic neurons.,Biological cybernetics,2008,10.1007/s00422-008-0263-8,,321,1,122785
44050,CA1 pyramidal neuron: dendritic spike initiation (Gasparini et al 2004),46837,"Gasparini S, Migliore M, Magee JC",On the initiation and propagation of dendritic spikes in CA1 pyramidal neurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2004,10.1523/JNEUROSCI.2520-04.2004,,317,1,46837
3670,Thalamic Reticular Network (Destexhe et al 1994),4900,"Destexhe A, Contreras D, Sejnowski TJ, Steriade M",A model of spindle rhythmicity in the isolated thalamic reticular nucleus.,Journal of neurophysiology,1994,10.1152/jn.1994.72.2.803,,315,1,4900
108459,STDP depends on dendritic synapse location (Letzkus et al. 2006),82860,"Letzkus JJ, Kampa BM, Stuart GJ",Learning rules for spike timing-dependent plasticity depend on dendritic synapse location.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2006,10.1523/JNEUROSCI.2650-06.2006,,315,1,82860
86537,TTX-R Na+ current effect on cell response (Herzog et al 2001),3906,"Herzog RI, Cummins TR, Waxman SG",Persistent TTX-resistant Na+ current affects resting potential and response to depolarization in simulated spinal sensory neurons.,Journal of neurophysiology,2001,10.1152/jn.2001.86.3.1351,,314,2,3906
37857,"CN bushy, stellate neurons (Rothman, Manis 2003)",37966,"Rothman JS, Manis PB",The roles potassium currents play in regulating the electrical activity of ventral cochlear nucleus neurons.,Journal of neurophysiology,2003,10.1152/jn.00127.2002,,307,4,37966|37967|37968
116084,CA1 pyramidal neuron synaptic integration (Jarsky et al. 2005),80601,"Jarsky T, Roxin A, Kath WL, Spruston N",Conditional dendritic spike propagation following distal synaptic activation of hippocampal CA1 pyramidal neurons.,Nature neuroscience,2005,10.1038/nn1599,,307,1,80601
